9089,1254009.49808801,1010248.19660638,725.15621066,SW1+            
9090,1254009.15901554,1010253.08804958,725.04637063,SW2+            
9091,1254007.87749460,1010266.28832709,724.37953227,BC1+            
9092,1254007.87774375,1010266.87491615,723.84133709,FL1+            
9093,1254007.77928815,1010268.18889450,723.80679901,EP1+            
9094,1254007.36972923,1010280.19292723,724.01209265,CL1+            
9095,1254006.62399774,1010292.15999497,724.08254171,EP2+            
9096,1254006.56859356,1010293.23238433,724.04791598,FL2+            
9097,1254006.53661425,1010294.04683895,724.54538776,BC2+            
9098,1254000.64260045,1010311.31197440,725.11485609,SW3+            
9099,1254000.44072571,1010316.18012305,725.06689030,SW4+            
9100,1253975.02558817,1010315.29285618,725.07999590,SW4             
9101,1253975.05517667,1010310.36486288,725.11883573,SW3             
9102,1253973.84194123,1010303.70149168,725.54160029,GS              
9103,1253974.40235327,1010292.61861962,724.40722151,BC2             
9104,1253974.42636246,1010291.80286885,723.88688189,FL2             
9105,1253974.48184381,1010290.75267638,723.87156614,EP2             
9106,1253974.54405664,1010278.73794279,723.92756255,CL1             
9107,1254001.88875623,1010266.68549106,723.88074817,FL1             
9108,1254001.90284005,1010266.00623739,724.34207324,BC1             
9109,1254001.64686050,1010266.63328528,723.87459589,FL3+            
9110,1253990.08037778,1010261.26582112,724.34460731,FL1             
9111,1253990.60095306,1010260.77615522,724.88371441,BC1             
9112,1253987.71669025,1010255.22581978,725.21228990,BC1             
9113,1253987.41408595,1010252.13381447,724.91938711,BC1.            
9114,1253987.43369165,1010252.12992112,724.92051337,SW2             
9115,1253986.96910490,1010252.15232221,724.92023459,FL1.            
9116,1253988.24239803,1010247.28369172,725.03554948,SW1             
9117,1253974.46869608,1010266.69951957,723.81087930,EP1             
9118,1253974.53974220,1010265.56702444,723.79939271,FL3             
9119,1253961.27398104,1010246.07535029,725.07455096,SW1             
9120,1253961.09677535,1010250.99818831,724.97245300,BC1+            
9121,1253961.11586276,1010250.99218009,724.97212476,SW2             
9122,1253961.47918721,1010251.02126821,724.96582718,FL1+            
9123,1253960.53933136,1010253.60725938,725.25795170,BC1             
9124,1253956.03922640,1010260.70876039,724.74347021,BC1             
9125,1253956.59113896,1010261.16547480,724.17022029,FL1             
9126,1253945.81866289,1010264.41415215,723.72374802,FL1             
9127,1253945.81866148,1010264.41415231,723.72326534,FL3.            
9128,1253945.85916246,1010263.77174264,724.20868824,BC1             
9129,1253945.81956344,1010265.45919902,723.73249940,EP1             
9130,1254010.31377004,1010264.34141349,724.66372643,W1+             
9131,1254020.59188187,1010255.48190351,725.03679949,GS             
9132,1254020.60185111,1010255.48072129,725.03264743,G1+             
9133,1253939.20110318,1010252.75538305,725.67461328,G1              
9134,1253947.40775665,1010243.81217279,725.58078667,W2+             
9135,1253946.72968191,1010262.70772808,724.30414873,W2.             
9136,1253946.73960869,1010262.70649820,724.30423401,W1              
9137,1253938.94754348,1010256.12299401,725.18300149,DTR12           
9138,1253940.18235169,1010245.11683300,726.02880927,SW1             
9139,1253940.12525293,1010249.99075094,725.95457234,SW2             
9140,1253945.12082584,1010277.53384992,723.90106540,CL1             
9141,1253944.58088556,1010289.47582733,723.79072499,EP2             
9142,1253944.67417060,1010290.51360981,723.77983221,FL2             
9143,1253944.63960758,1010291.37564958,724.29284268,BC2             
9144,1253943.66166854,1010301.94881014,725.47753722,GS              
9145,1253943.55528442,1010308.97508000,724.98673535,SW3             
9146,1253943.77098495,1010313.84523988,724.98602595,SW4             
9147,1253929.68853785,1010299.30097932,725.05293935,DTR4            
9148,1253897.29734724,1010311.46515453,725.04281047,SW4             
9149,1253897.73872302,1010306.59014326,724.96526980,SW3             
9150,1253898.12543521,1010289.56160185,724.12649724,BC2             
9151,1253898.23355364,1010288.89945007,723.70912014,FL2             
9152,1253898.23463258,1010288.90939253,723.70912556,FL3+            
9153,1253898.20882984,1010287.56507095,723.71941389,EP2             
9154,1253891.55555998,1010289.34280610,723.68299974,BC3+            
9155,1253892.42231187,1010291.00737685,724.15131441,BC2             
9156,1253892.09768734,1010290.53602685,723.76366570,FL2             
9157,1253888.47954046,1010297.95072399,724.58339776,FL2.            
9158,1253889.03108296,1010297.96744649,724.58060073,BC2             
9159,1253889.06769112,1010306.31429278,724.92641406,BC2.            
9160,1253884.11337751,1010314.87479654,725.00867922,MHSS            
9161,1253884.39297344,1010348.09696884,725.01380187,MHSS            
9162,1253884.75210492,1010396.32680496,725.09798662,MHSS            
9163,1253885.05233750,1010463.29915756,725.40145927,MHSS            
9164,1253871.46259078,1010310.57866765,725.00078969,SW4             
9165,1253873.67868436,1010315.93476085,725.39841924,E1+             
9166,1253872.90387919,1010305.68815971,724.83452110,SW3             
9167,1253874.70475762,1010303.54741627,724.70191620,TPED/ATT            
9168,1253872.65409388,1010302.54445572,724.65770183,TRAN            
9169,1253873.21523392,1010303.08330772,724.66454097,E1.             
9170,1253872.72205392,1010299.13206005,724.62001361,PPT             
9171,1253876.75798603,1010305.84594414,724.85527077,BC2+            
9172,1253876.90203548,1010296.67155510,724.48203277,BC2             
9173,1253877.54635434,1010296.73006875,724.48471656,FL2+            
9174,1253875.07995883,1010288.75520262,723.63122939,BC3.            
9175,1253874.45370312,1010289.67928362,723.69871339,FL2             
9176,1253874.07281509,1010290.13732840,724.16204101,BC2             
9177,1253869.95707588,1010288.35415014,724.00875639,BC2             
9178,1253869.92491771,1010287.73268020,723.60049066,FL3.            
9179,1253869.91657979,1010287.73820270,723.60055960,FL2             
9180,1253869.97144495,1010286.41207329,723.69337131,EP2             
